Timestamp,Temperature,Humidity,Alcohol,Light Intensity
2024-11-09 21:44:20,26.50,65.30,17,4095
2024-11-09 21:44:25,26.50,65.50,17,4095
2024-11-09 21:44:30,26.50,65.50,17,4095
2024-11-09 21:44:35,26.50,65.40,17,4095
2024-11-09 21:44:40,26.50,65.30,17,4095
2024-11-09 21:44:45,26.50,65.20,17,4095
2024-11-09 21:44:50,26.50,65.30,17,4095
2024-11-09 21:44:55,26.50,65.20,17,4095
2024-11-09 21:45:00,26.50,65.30,17,4095
2024-11-09 21:45:05,26.60,65.20,17,4095
2024-11-09 21:45:10,26.60,65.40,17,4095
2024-11-09 21:45:15,26.50,65.10,17,4095
